Quiz 1 - Spring 1998,"Important note: On the earlier quizzes, the risk premium used is 5.5% and it is not given in the problem. It would have been looked up in the lecture notes - long term geometric averate premium over T.Bonds for most cost of equity and expected return computations and arithmetic average over T.Bills for short term expected returns."
Problem 1,
Jensen's Alpha = Intercept - Riskfree Rate (1- Beta),
 + 0.1% = - 0.2% - Riskfree Rate (1 - 1.50),
"Solving for Riskfree Rate, we get ",
Riskfree Rate = 0.6% a month,
,
Problem 2,
Unlevered Beta for Food Business = 0.92/(1+(1-.4)(.25)) =,
Unlevered Beta for Tobacco Business = 1.17/(1+(1 - .4)(.5)) =,
Unlevered Beta for the Company = 0.8 (10/25) + 0.9 (15/25) =,
Levered Beta for the Company = 0.86 (1 + (1-.4)(1.00)) =,
Cost of Equity for the Company = 6% + 1.376 (5.5%) =,
,
Problem 3a.,
Unlevered Beta after sale = 0.90 (Food business is sold off),
Debt after divestiture = (12.5 billion - 10 billion) = 2.5 billion,
Equity after divestiture = 12.5 billion,
Debt/Equity Ratio after the action = 2.5/12.5 = 0.2,
New Levered Beta = 0.90 (1 + (1-.4) (.2)) =,1.0080000000000002
,
Problem 3b.,
Unlevered Beta after sale = 0.90 (15/25) + 0.00 (10/25) =,
Levered Beta after sale = 0.54 (1 + (1-.4) (1.00)) =,
,
Quiz 1 - Spring 1999,
Problem 1,
a. Management power increases. Board will become more CEO compliant.,
b. Stockholder power increases. New directors are likely to be stockholder focused.,
c. No effect. The additional shares are non-voting.,
d. Management power increases. Hostile takeovers operate as a disciplinary mechanism.,
,
Problem 2,
Quarterly Excess  Return = (1.32)^1/4-1 =,! Okay if you use 8% as quarterly excess return
Intercept - Riskfree Rate (1-Beta) = Excess Return,
Quarterly Riskfree Rate=(1.048)^1/4-1 =,"!Again, okay if you use 1.2% as you quarterly riskfree rate"
Intercept - 1.18% (1-1.50) = 7.19%,
"Solving for the intercept,",
Intercept = 7.19% + 1.18% (1-1.5) =,
,
Problem 3,
0.70 (Raw Beta) + 0.30 (1.00) = 1.70,
Raw Beta =,
Range on Beta = 1.65-2.35,
,
Problem 4,
Current Beta = 1.20,
Assets,
Cash,
New Age,
0.75 (Beta of New Age Business) + 0.25 (0) = 1.20,
Beta of New Age Business = ,
"After the transaction,",
Assets,
New Age,
,
Debt/Equity Ratio = 15/60 = 0.25,
New Beta = 1.60 (1 + (1-0.4)(0.25)) =,
,
Quiz 1a: Spring 1999,
Problem 1,
a. Net effect will be small since the CEO picks the directors.,
"b. Depends on the institutions. While institutions investors have more clout, they are often passive. ",
c. Stockholder power increases. Lender will want a role in management.,
d. Stockholder power increases. Increases the perceived likelihood of a hostile acquisition.,
,
Problem 2,
Jensen's alpha = -1.31% - .45% (1-0.85) =,-0.013775
Annualized Jensen's Alpha= ( 1- .0138)^(12)-1 =,-0.15359157356126596
,
Problem 3,
